,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C328,22.702984910139065,4.710737337715464,13,AMPH DNAJC6 DNM1 DNM3 IP6K1 ITSN1 PIP5K1C SH3GL2 SNAP91 STON2 STX1B SYN1 UNC13A,17.230627680782458,1.4880976798316539,41,AMPH ASS1 ATP7A CASP3 CTSB DNAJC6 DNM1 DNM3 EPS15L1 FMR1 GAP43 GRN INA IP6K1 ITSN1 KLC1 MAPK8IP1 MAPT NEFM PINK1 PIP5K1C PRKN PSEN1 SCARB2 SH3GL2 SLC18A2 SNAP91 SNAPIN SNCA SNCG STK25 STON2 STX1B SYN1 SYT1 TMEM175 TMEM94 TYRO3 UNC13A UNC13B XRCC6,16.640692431451548,2.8102248520793456,12,DNAJC6 DNM1 DNM3 EPS15L1 FMR1 SH3GL2 SLC18A2 SNAP91 STON2 STX1B UNC13A UNC13B,16.256819218758114,1.2994252417590655,52,AAK1 ARL8B BCAS1 CALB2 CASKIN1 CCSAP CD47 CTSA DGKB DNAJC5 DNM1 DNM3 DNMBP FAM53B FMR1 FXR2 GRN HIP1R IP6K1 IQSEC1 ITSN1 KCNAB1 LGI1 MAPK8IP1 MAPT NPC1 NRGN PINK1 PIP5K1C PRAG1 PRKN PSEN1 RAB3A RNF10 SH3GL2 SLC18A2 SLC18A3 SNAP25 SNAP91 SNCA STON2 STX1B STXBP1 SYN1 SYNJ1 SYT1 SYT2 TMEM175 UNC13A UNC13B UNC13C VAMP2,16.12565060726227,1.293738207977995,52,AAK1 ARL8B BCAS1 CALB2 CASKIN1 CCSAP CD47 CTSA DGKB DNAJC5 DNM1 DNM3 DNMBP FAM53B FMR1 FXR2 GRN HIP1R IP6K1 IQSEC1 ITSN1 KCNAB1 LGI1 MAPK8IP1 MAPT NPC1 NRGN PINK1 PIP5K1C PRAG1 PRKN PSEN1 RAB3A RNF10 SH3GL2 SLC18A2 SLC18A3 SNAP25 SNAP91 SNCA STON2 STX1B STXBP1 SYN1 SYNJ1 SYT1 SYT2 TMEM175 UNC13A UNC13B UNC13C VAMP2,15.977322413729558,2.8980532667131236,11,DNAJC6 DNM1 DNM3 EPS15L1 FMR1 SH3GL2 SNAP91 STON2 STX1B UNC13A UNC13B,14.505314231895483,1.103457319029614,67,ACP2 AGA ARHGAP44 ATP7A ATP8A2 ATXN2 BCAS1 BRSK1 CAMTA1 CASKIN1 CASP3 CD47 CLIP3 CLN3 CRLF1 CTSB CTSD CTSF CYP11A1 DGKB DNAJC5 DNAJC6 DNM1 DNM2 DNM3 EPS15L1 FMR1 FSCN1 GALC GAP43 GAS2 GRN HEXA HGS HSP90AA1 KLC1 LDLR MAP1B MAPT MBNL1 MERTK NEFM NEU1 NPC1 PINK1 PLD2 PRKN PSEN1 SCARB2 SH3GL2 SLC18A2 SNAP91 SNCA SNCG SORL1 STAM STON2 STX1B STXBP1 SYN1 SYNJ2 TMEM175 TYRP1 UNC13A UNC13B VAMP2 VAMP7,14.50149495493118,1.2751838544041174,47,AAK1 ARL8B BCAS1 CALB2 CASKIN1 CCSAP CD47 CTSA DGKB DNM1 DNM3 DNMBP FAM53B FMR1 FXR2 GRN HIP1R IP6K1 IQSEC1 ITSN1 KCNAB1 LGI1 MAPK8IP1 MAPT NPC1 NRGN PINK1 PIP5K1C PRAG1 PSEN1 RAB3A RNF10 SH3GL2 SLC18A2 SNAP25 SNAP91 SNCA STX1B SYN1 SYNJ1 SYT1 SYT2 TMEM175 UNC13A UNC13B UNC13C VAMP2,13.41193397179106,3.938881292931015,7,PIP5K1C PSEN1 RAB3A SH3GL2 SYN1 SYNJ1 SYT1,13.091943079632514,2.100175644648715,15,DNM1 DNM3 FMR1 LGI1 MAPT PIP5K1C SH3GL2 SNAP25 SNAP91 SNCA STX1B SYT1 SYT2 UNC13A VAMP2,PD-DLB systems map,28,2,0.08695652173913043,0.006211180124223602,0.006211180124223602,0.9006211180124224
C329,9.570950695691264,3.2882188034106923,5,DNAJC6 IP6K1 STX1B SYN1 UNC13A,13.75304811655812,1.5112853228240102,31,ASS1 ATP7A CASP3 CTSB DNAJC6 FMR1 GAP43 GRN INA IP6K1 KLC1 MAPK8IP1 MAPT NEFM PINK1 PRKN PSEN1 SLC18A2 SNAPIN SNCA SNCG STK25 STX1B SYN1 SYT1 TMEM175 TMEM94 TYRO3 UNC13A UNC13B XRCC6,6.774726827311809,2.2892759777790648,6,DNAJC6 FMR1 SLC18A2 STX1B UNC13A UNC13B,12.80428765911427,1.3171201824073506,39,ARL8B BCAS1 CALB2 CASKIN1 CCSAP CD47 CTSA DGKB DNAJC5 FAM53B FMR1 FXR2 GRN IP6K1 IQSEC1 KCNAB1 LGI1 MAPK8IP1 MAPT NPC1 NRGN PINK1 PRAG1 PRKN PSEN1 RAB3A RNF10 SLC18A2 SNAP25 SNCA STX1B STXBP1 SYN1 SYT1 TMEM175 UNC13A UNC13B UNC13C VAMP2,12.704036818094272,1.311509160934344,39,ARL8B BCAS1 CALB2 CASKIN1 CCSAP CD47 CTSA DGKB DNAJC5 FAM53B FMR1 FXR2 GRN IP6K1 IQSEC1 KCNAB1 LGI1 MAPK8IP1 MAPT NPC1 NRGN PINK1 PRAG1 PRKN PSEN1 RAB3A RNF10 SLC18A2 SNAP25 SNCA STX1B STXBP1 SYN1 SYT1 TMEM175 UNC13A UNC13B UNC13C VAMP2,5.6382140274141035,2.257144291795866,5,DNAJC6 FMR1 STX1B UNC13A UNC13B,12.687229163036815,1.170436490606841,52,ACP2 AGA ATP7A ATP8A2 ATXN2 BCAS1 BRSK1 CAMTA1 CASKIN1 CASP3 CD47 CLIP3 CLN3 CRLF1 CTSB CTSD CTSF CYP11A1 DGKB DNAJC5 DNAJC6 DNM2 FMR1 FSCN1 GALC GAP43 GAS2 GRN HEXA HSP90AA1 KLC1 MAP1B MAPT MERTK NEFM NEU1 NPC1 PINK1 PLD2 PRKN PSEN1 SLC18A2 SNCA SNCG STX1B STXBP1 SYN1 TMEM175 TYRP1 UNC13A UNC13B VAMP2,12.05797583802024,1.318283777187757,36,ARL8B BCAS1 CALB2 CASKIN1 CCSAP CD47 CTSA DGKB FAM53B FMR1 FXR2 GRN IP6K1 IQSEC1 KCNAB1 LGI1 MAPK8IP1 MAPT NPC1 NRGN PINK1 PRAG1 PSEN1 RAB3A RNF10 SLC18A2 SNAP25 SNCA STX1B SYN1 SYT1 TMEM175 UNC13A UNC13B UNC13C VAMP2,8.016358549715223,3.3711259088425516,4,PSEN1 RAB3A SYN1 SYT1,6.766715691704064,1.8424791523753328,9,FMR1 LGI1 MAPT SNAP25 SNCA STX1B SYT1 UNC13A VAMP2,synaptic vesicle localization,21,1,0.08898305084745763,0.00423728813559322,0.00847457627118644,0.8983050847457628
C339,15.225647872615689,5.5413700074176555,3,AMPH DNM3 SH3GL2,2.510333539936809,1.898980086259252,3,AMPH DNM3 SH3GL2,6.4816764439515175,3.922800300702284,2,DNM3 SH3GL2,1.6117387747179364,1.4430570018118392,3,DNM3 DNMBP SH3GL2,1.6022549312379266,1.4376457201156523,3,DNM3 DNMBP SH3GL2,6.9458235492899,4.086856277409774,2,DNM3 SH3GL2,1.6383461048962318,1.3139925652527769,4,ARHGAP44 ATXN2 DNM3 SH3GL2,1.7850606361085233,1.5393232106968924,3,DNM3 DNMBP SH3GL2,4.59746887407677,4.493972561690042,1,SH3GL2,4.275507304335506,3.0771677391128325,2,DNM3 SH3GL2,Clathrin-mediated endocytosis,2,1,0.125,0.0625,0.0,0.8125
C331,25.477353255686957,4.96560052171504,8,AMPH DNAJC6 DNM1 DNM3 ITSN1 SH3GL2 SNAP91 STON2,4.477477316978492,1.3413024181156619,11,AMPH DNAJC6 DNM1 DNM3 EPS15L1 ITSN1 SCARB2 SH3GL2 SNAP91 STON2 SYT1,15.628236268564144,3.4324204229828217,7,DNAJC6 DNM1 DNM3 EPS15L1 SH3GL2 SNAP91 STON2,3.457386361013449,1.0740885807314644,13,AAK1 DNM1 DNM3 DNMBP HIP1R ITSN1 SH3GL2 SLC18A3 SNAP91 STON2 SYNJ1 SYT1 SYT2,3.427415062611723,1.0686230123362606,13,AAK1 DNM1 DNM3 DNMBP HIP1R ITSN1 SH3GL2 SLC18A3 SNAP91 STON2 SYNJ1 SYT1 SYT2,16.86566443737803,3.615170222382754,7,DNAJC6 DNM1 DNM3 EPS15L1 SH3GL2 SNAP91 STON2,2.5342198340081725,0.81964815788705,16,ATXN2 DNAJC6 DNM1 DNM2 DNM3 EPS15L1 HGS LDLR MBNL1 SCARB2 SH3GL2 SNAP91 STAM STON2 SYNJ2 VAMP7,2.6145120544514113,0.9778282487299776,11,AAK1 DNM1 DNM3 DNMBP HIP1R ITSN1 SH3GL2 SNAP91 SYNJ1 SYT1 SYT2,8.727223965447317,3.9288908103088573,3,SH3GL2 SYNJ1 SYT1,7.312015599455561,2.3552389947128898,6,DNM1 DNM3 SH3GL2 SNAP91 SYT1 SYT2,Clathrin-mediated endocytosis,7,1,0.07368421052631578,0.010526315789473684,0.0,0.9157894736842105
C352,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.5726990203805518,1.810145979897154,2,ARL8B RNF10,1.5653474539106664,1.8047400679918972,2,ARL8B RNF10,-0.0,0.0,0,,-0.0,0.0,0,,1.7063058298866038,1.906311844245753,2,ARL8B RNF10,-0.0,0.0,0,,-0.0,0.0,0,,C352,1,0,0.125,0.0,0.0,0.875
C330,6.782413504109026,3.3131159136126813,3,STX1B SYN1 UNC13A,12.997973667598764,1.8090393944293108,21,CASP3 FMR1 GAP43 INA KLC1 MAPK8IP1 MAPT NEFM PINK1 PRKN SLC18A2 SNAPIN SNCA SNCG STX1B SYN1 SYT1 TYRO3 UNC13A UNC13B XRCC6,8.110827329029469,2.7601708367643827,5,FMR1 SLC18A2 STX1B UNC13A UNC13B,14.396030636729165,1.7091693202921476,28,BCAS1 CALB2 CASKIN1 CCSAP CD47 DGKB DNAJC5 FMR1 KCNAB1 LGI1 MAPK8IP1 MAPT NRGN PINK1 PRKN RAB3A RNF10 SLC18A2 SNAP25 SNCA STX1B STXBP1 SYN1 SYT1 UNC13A UNC13B UNC13C VAMP2,14.309418728944912,1.7036216488638942,28,BCAS1 CALB2 CASKIN1 CCSAP CD47 DGKB DNAJC5 FMR1 KCNAB1 LGI1 MAPK8IP1 MAPT NRGN PINK1 PRKN RAB3A RNF10 SLC18A2 SNAP25 SNCA STX1B STXBP1 SYN1 SYT1 UNC13A UNC13B UNC13C VAMP2,6.352268317621441,2.6797866316016066,4,FMR1 STX1B UNC13A UNC13B,11.39472632593082,1.42370910732593,33,ATP8A2 ATXN2 BCAS1 BRSK1 CASKIN1 CASP3 CD47 CLIP3 CRLF1 CYP11A1 DGKB DNAJC5 FMR1 FSCN1 GAP43 HSP90AA1 KLC1 MAP1B MAPT MERTK NEFM PINK1 PLD2 PRKN SLC18A2 SNCA SNCG STX1B STXBP1 SYN1 UNC13A UNC13B VAMP2,12.607139829560225,1.6599287143314534,25,BCAS1 CALB2 CASKIN1 CCSAP CD47 DGKB FMR1 KCNAB1 LGI1 MAPK8IP1 MAPT NRGN PINK1 RAB3A RNF10 SLC18A2 SNAP25 SNCA STX1B SYN1 SYT1 UNC13A UNC13B UNC13C VAMP2,7.710073901919565,3.6616902380176475,3,RAB3A SYN1 SYT1,11.830705181690176,2.537330770068115,9,FMR1 LGI1 MAPT SNAP25 SNCA STX1B SYT1 UNC13A VAMP2,calcium-ion regulated exocytosis,11,0,0.08943089430894309,0.0,0.008130081300813009,0.9024390243902439
C362,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.3251044086978625,1.7186282940858497,2,GAS2 TYRP1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C362,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C333,6.817467718400213,4.004778089623291,2,DNAJC6 IP6K1,2.5152754337496614,1.4213856809311611,5,DNAJC6 IP6K1 STK25 TMEM175 TMEM94,1.4882855396192016,2.1851225188049144,1,DNAJC6,1.3546075560302928,0.964309155730966,5,FAM53B FXR2 IP6K1 IQSEC1 TMEM175,1.3429411757979939,0.9588869756587179,5,FAM53B FXR2 IP6K1 IQSEC1 TMEM175,1.6596264455127336,2.345892291150334,1,DNAJC6,0.3358692093786166,-0.5346346339199428,2,DNAJC6 TMEM175,1.5703357284471793,1.0607788291368827,5,FAM53B FXR2 IP6K1 IQSEC1 TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,C333,2,0,0.05,0.0,0.025,0.925
C334,-0.0,0.0,0,,0.5224888495116959,0.7602658361049492,2,CTSB GRN,-0.0,0.0,0,,0.6578385045883047,0.7491805289136035,3,CTSA GRN NPC1,0.6512787396062848,0.7437690425956607,3,CTSA GRN NPC1,-0.0,0.0,0,,5.231122704011371,1.7742338102136754,10,ACP2 CLN3 CTSB CTSD CTSF GALC GRN HEXA NEU1 NPC1,0.7792360612280989,0.845450198888754,3,CTSA GRN NPC1,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,3,1,0.10344827586206896,0.034482758620689655,0.0,0.8620689655172413
C348,-0.0,0.0,0,,0.6444096905807073,1.282971010653858,1,TMEM94,-0.0,0.0,0,,0.3613776661095656,0.8281773852359322,1,VAMP2,0.3583942061326237,0.822776690855358,1,VAMP2,-0.0,0.0,0,,0.122205699635487,0.3314564506828983,1,VAMP2,0.4159037409852475,0.9242455102504241,1,VAMP2,-0.0,0.0,0,,2.2354339007110857,2.9358602666373823,1,VAMP2,C348,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C332,9.443366680769106,4.009469938182206,3,STX1B SYN1 UNC13A,12.972188138646782,2.219532075602123,15,GAP43 INA KLC1 MAPK8IP1 MAPT NEFM PRKN SLC18A2 SNCA SNCG STX1B SYN1 SYT1 UNC13A UNC13B,8.7116810341568,3.213530891484342,4,SLC18A2 STX1B UNC13A UNC13B,18.6641304591742,2.3752843227357268,23,BCAS1 CALB2 CASKIN1 CCSAP DGKB DNAJC5 KCNAB1 LGI1 MAPK8IP1 MAPT NRGN PRKN RAB3A SLC18A2 SNAP25 SNCA STX1B STXBP1 SYN1 SYT1 UNC13A UNC13B UNC13C,18.58281314908502,2.3697651066424363,23,BCAS1 CALB2 CASKIN1 CCSAP DGKB DNAJC5 KCNAB1 LGI1 MAPK8IP1 MAPT NRGN PRKN RAB3A SLC18A2 SNAP25 SNCA STX1B STXBP1 SYN1 SYT1 UNC13A UNC13B UNC13C,6.257354142023097,3.0570518410055367,3,STX1B UNC13A UNC13B,8.941755401318277,1.655742342920318,20,ATP8A2 BCAS1 CASKIN1 CLIP3 DGKB DNAJC5 GAP43 KLC1 MAP1B MAPT NEFM PRKN SLC18A2 SNCA SNCG STX1B STXBP1 SYN1 UNC13A UNC13B,15.888869791087433,2.257868417205045,20,BCAS1 CALB2 CASKIN1 CCSAP DGKB KCNAB1 LGI1 MAPK8IP1 MAPT NRGN RAB3A SLC18A2 SNAP25 SNCA STX1B SYN1 SYT1 UNC13A UNC13B UNC13C,10.444476143148194,4.358043405828021,3,RAB3A SYN1 SYT1,12.382447167692156,2.9828852725863024,7,LGI1 MAPT SNAP25 SNCA STX1B SYT1 UNC13A,calcium-ion regulated exocytosis,3,0,0.047619047619047616,0.0,0.015873015873015872,0.9365079365079365
C367,-0.0,0.0,0,,1.1117818219151008,1.97633817691562,1,CASP3,-0.0,0.0,0,,0.7601328926533046,1.5215487936122774,1,CD47,0.7563214139250647,1.5161481620969663,1,CD47,-0.0,0.0,0,,2.6922932116526863,2.8180026142104673,3,CASP3 CD47 CRLF1,0.829347521683647,1.6176158552835123,1,CD47,-0.0,0.0,0,,-0.0,0.0,0,,C367,1,0,0.2,0.0,0.0,0.8
C338,-0.0,0.0,0,,0.24583065968076104,0.5893837134559021,1,TYRO3,-0.0,0.0,0,,0.04760797734833051,0.13458159815245452,1,DGKB,0.04560430277792192,0.12918077795671934,1,DGKB,-0.0,0.0,0,,0.7665939288109914,0.8713972965487784,3,BRSK1 DGKB PLD2,0.08458079614064087,0.23065185128145416,1,DGKB,-0.0,0.0,0,,-0.0,0.0,0,,Phosphatidylinositol signaling system,1,0,0.058823529411764705,0.0,0.0,0.9411764705882353
